url,title,company,location,job_type,workplace_type,experience_level,description,salary,posted_date,applicant_count,view_count
https://www.profesia.sk/praca/swiss-re/O5089899?search_id=6b30d10d-2364-4d5a-ae5e-835ee91faebf,Junior Data Engineer,Swiss Re,Bratislava,full_time,hybrid,,"
Job description, responsibilities and duties
About the Role:
As a Data Engineer, you will be responsible for implementing data pipelines and analytics
solutions to support key decision-making processes in our Life & Health Reinsurance business. You will become part of a project that is leveraging cutting edge technology that applies Big Data and Machine Learning to solve new and emerging problems for Swiss Re. You will be expected to gain a full understanding of the reinsurance data and business logic required to deliver analytics solutions.
Key responsibilities include:
•	Work closely with Product Owners and Engineering Leads to understand requirements and evaluate the implementation effort.
•	Develop and maintain scalable data transformation pipelines
•	Implement analytics models and visualizations to provide actionable data insights
•	Collaborate within a global development team to design and deliver solutions.
About the Team:
Life & Health Data & Analytics Engineering is a key tech partner for our Life & Health Reinsurance division, supporting in the transformation of the data landscape and the creation of innovative analytical products and capabilities. A large globally distributed team working in an agile development landscape, we deliver solutions to make better use of our reinsurance data and enhance our ability to make data-driven decisions across the business value chain.
Employee perks, benefits
You can look forward to extra rewards and benefits including:
- Attractive performance-based bonus
- Ultra flexible working time in hybrid setup, allowing you to work also from home
- Modern office spaces in attractive location
- 5 additional days of holiday
- Lunch allowance fully paid by Swiss Re
- Referral bonus
- Pension & risk insurance contribution
- Sick days and sick leave support
- Public transport benefit
- Multisport card
Information about the selection process
We are an equal opportunity employer, and we value diversity at our company. Our aim is to live visible and invisible diversity – diversity of age, race, ethnicity, nationality, gender, gender identity, sexual orientation, religious beliefs, physical abilities, personalities and experiences – at all levels and in all functions and regions. We also collaborate in a flexible working environment, providing you with a compelling degree of autonomy to decide how, when and where to carry out your tasks.
We provide feedback to all candidates via email. If you have not heard back from us, please check your spam folder.",1 600 EUR/month,2.6.2025,,
https://www.profesia.sk/praca/lenovo-slovakia/O5096159?search_id=6b30d10d-2364-4d5a-ae5e-835ee91faebf,Data Analytics Developer,Lenovo (Slovakia) S.R.O.,Bratislava,unknown,on_site,,,2 700 EUR/month,10.6.2025,,
https://www.profesia.sk/praca/devologyx-ou/O5080145?search_id=6b30d10d-2364-4d5a-ae5e-835ee91faebf,"Data Engineer [PL/SQL],  [Perm - Kosice/Bratislava]",Devologyx Oü,Pozícia:,full_time,on_site,director,"
Job description, responsibilities and duties
​
As a Data Engineer, you will play a role in designing, developing, and maintaining robust data infrastructure and pipelines that enable efficient data processing, storage, and analysis. You will be a part of an international SCRUM team, where you get to work on various projects with other experts from the field. From the Data Engineer position, you can jump to Senior Data Engineer or Lead Data Engineer or change your project to cloud technologies in the future.
WHAT YOU WILL DO
Design and Development of ETL Pipelines: Develop robust ETL pipelines to extract, transform, and load data into Oracle databases, SQL databases, or data warehouses, using PL/SQL and (Python-optional) for complex data transformations.
Database Performance Optimization: Optimize SQL queries and PL/SQL scripts for improved performance and reliability, manage schema designs, and streamline data processing.
Data Quality Management: Implement data quality checks to maintain accuracy and integrity, collaborating with governance teams to comply with data standards and policies.
Support for Data Analysis and Reporting: Provide technical support for data analysis by creating views, reports, and dashboards, and assist with complex data queries to fulfill business intelligence objectives.
YOU WILL SUCCEED IF YOU
Education
Information technologies – Bachelor’s degree
Experience
ICT Analysis, Architecture & Design - 1 year
IT Technical Skills
Data Analytics – visualization - Intermediate
Data processing methods Intermediate
Data streaming, Data warehousing - Intermediate
SQL and NoSQL Databases - Intermediate
Programming, scripting - Intermediate
Soft skills
Analytical Thinking
Crossfunctional Collaboration
Strategic Thinking
Ability to Innovate
Languages
English - Upper intermediate (B2)
German advantage - Intermediate (B1)
​
Employee perks, benefits
​
Work-Life Balance & Flexibility
Flexible working hours (within the calendar month)
Home office – Up to 30% of working time from home
Telework – Remote work from Slovakia and selected EU countries
Shortened working time
Part-time employment options
Extra days off based on job complexity
Parent day off
Welcome package for newborns
Financial Benefits
Cafeteria Bonus – Annual package of money based on job complexity
Variable payment (bonus) – Yearly bonus based on company objectives
Employer pension contribution (3rd pillar)
Financial bonus for recommending a candidate
Financial bonus for relocation
Special program for key employees
Learning & Development Opportunities
Upskilling, reskilling & job position changes through training
Hard-skills & soft-skills training
Methodology training & language training (face-to-face and online)
Leadership program – Learning journey for future leaders
Access to online learning platforms – Percipio, Coursera, etc.
SPIRIT program – Focused on improving communication, efficiency, and teamwork
Health & Sport Benefits
Work-life coaching – Free consultations for employees and their families on:
Psychological, legal, work-related, and financial topics
24/7 crisis support hotline
Health Week & online lectures
Free entrance to Sport & Fun Park Alejova
Electric bike rental
Cultural & Community Events
Various cultural and sports events for employees and their families
Additional Benefits
Benefits at METRO Cash & Carry (exclusive for employees)
Part-time jobs & shorter working hours options
​
Company on whose behalf the position is being filled
Banking, finance
One of Europe’s leading integrated telecommunications companies, providing a wide range of fixed-network, mobile, internet, and IT services. With operations in numerous countries, it focuses on innovation, digitalisation, and sustainable connectivity to empower both individuals and businesses. The company is known for its strong commitment to employee well-being, flexible work models, and social responsibility.",4 500 EUR/month,19.5.2025,,
https://www.profesia.sk/praca/swiss-re/O5072172?search_id=6b30d10d-2364-4d5a-ae5e-835ee91faebf,Data Engineer - Group Sustainability,Swiss Re,Bratislava,full_time,hybrid,,"
Job description, responsibilities and duties
About the Role
Are you passionate about data and sustainability? Join our Product Area ""Research & Sustainability"" as a Data Engineer and play a key role in supporting our Group Sustainability initiatives. You will collaborate with experienced professionals and partners across the organization to help deliver impactful sustainability-related projects. This is an excellent opportunity to gain hands-on experience in data engineering while contributing to meaningful projects that drive positive change.
Key Responsibilities:
•	Support the maintenance of data pipelines and products and help to design and build new ones in collaboration with our Lead Engineer.
•	Contribute to writing high-quality, maintainable, and efficient code.
•	Analyse datasets, identify patterns, and help create data-driven insights.
•	Work with cross-functional teams to support the success of our products and ensure smooth collaboration.
About the Team
Our team drives data-driven insights and technological innovation within the Swiss Re Institute. We create tech solutions tailored for sustainability, working in a global environment with colleagues based in Zurich, Bratislava, Bangalore, and beyond. This is an exciting opportunity to learn from experienced professionals and grow in a dynamic, international setting.
Employee perks, benefits
You can look forward to extra rewards and benefits including:
- Attractive performance-based bonus
- Ultra flexible working time in hybrid setup, allowing you to work also from home
- Modern office spaces in attractive location
- 5 additional days of holiday
- Lunch allowance fully paid by Swiss Re
- Referral bonus
- Pension & risk insurance contribution
- Sick days and sick leave support
- Public transport benefit
- Multisport card
Information about the selection process
We provide feedback to all candidates via email. If you have not heard back from us, please check your spam folder.",2 400 EUR/month,10.6.2025,,
https://www.profesia.sk/praca/takeda/O5088924?search_id=6b30d10d-2364-4d5a-ae5e-835ee91faebf,Data Engineer,Takeda,Bratislava,unknown,on_site,,"
Job description, responsibilities and duties
Data Engineer
The Future Begins Here
At Takeda, we are creating a future-ready organization that uses data and digital to meet the needs of patients, our people, and the planet. We need your help to make this happen. Join our new Innovation Capability Center (ICC) in Bratislava, Slovakia.
In this role at our state-of-the-art center, you will have the opportunity to grow your skills and create solutions that will benefit patients around the world. Become the heart of our internal innovation engine.
At Takeda we unite in diversity
Takeda is committed to creating an inclusive workplace, where individuals are recognized for the diverse backgrounds and abilities they bring to our company. We are continually improving workplace experience and accessibility for everyone, and welcome applications from all qualified candidates. Here, you will feel welcomed, respected, and valued as an important contributor to our Team.
The Opportunity
As Data Engineer you will develop, maintain and integrate processes which extract data from standardized or varied data sources; transform data for storing in proper formats and structures for querying and analysis; load data into target data structures in the Enterprise Data Backbone. You will participates on a project / product team working closely with business analysts and other team members to ensure that the end to end designs meet the business and data requirements; responsible for unit testing, implementation of solution, and providing KT to the run organization for maintenance and support of existing solutions. You will work with the Enterprise teams / COEs and understand the standards that needs to be adopted, the patterns that need to be used to develop the ETL routines and share it with the Junior Data Engineers
Job Description
•	Design, develop, optimize, and maintain data architecture and pipelines that adhere to ETL principles and business goals
•	Define data requirements, transforms data for storing in proper formats and structures for querying and analysis; loads data into target data structures in the Enterprise Data Backbone
•	Support Data Vizualization Team in data sourcing and preparation to visualize data and synthesize insights of commercial value
•	Lead the evaluation, implementation, and deployment of emerging tools and processes for analytic data engineering to improve productivity
•	Partner with business analysts and solutions architects to develop technical architectures for strategic enterprise projects and initiatives
•	Implement data quality procedures on new data sources by applying rigorous iterative data analytics
•	Advise, consult, mentor, and coach other data and analytic professionals on data standards and practices
Employee perks, benefits
What Takeda Can Offer You
At Takeda, you may build your career, while contributing to better people’s lives. Expect trust driven culture built around Integrity, Fairness, Honesty and Perseverance. Joining ICC will give you access to high end technology, training and colleagues who will support your growth.
Benefits
Here are a few benefits our employees are enjoying at Takeda. To get a full picture of what we are offering, go to our Benefits page (button above).
• Cafeteria
• Medical - High standard medical care
• Bridge days
• Summer Hours
• Multisport Card",3 050 EUR/month,30.5.2025,,
https://www.profesia.sk/praca/piano-software/O5096859?search_id=6b30d10d-2364-4d5a-ae5e-835ee91faebf,Junior Data Analyst (part-time),"Piano Software, S. R. O.",Bratislava,part_time,remote,entry_level,"
Job description, responsibilities and duties
Piano Overview
Piano’s Digital Experience Cloud empowers organizations to understand and influence customer behavior. By unifying customer data, analyzing behavior metrics and creating personalized customer journeys, Piano helps brands launch campaigns and products faster, strengthen customer engagement and drive personalization at scale from a single platform. Headquartered in Amsterdam with offices across the Americas, Europe and Asia Pacific, Piano serves a global client base, including Air France, the BBC, CBS, Kirin Holdings, Jaguar Land Rover and more. Piano has been recognized as one of the fastest-growing, most innovative technology companies in the world by the World Economic Forum, Red Herring, Inc. and Deloitte. For more information, visit piano.io.
If you're interested, please apply through this link:
https://piano.bamboohr.com/careers/689?source=aWQ9Nw%3D%3D
Position Overview
As a Junior Data Analyst at Piano, you will play a key role in helping clients unlock the value of their data. This entry-level position is ideal for students or early-career professionals with strong analytical skills and a foundational knowledge of SQL or similar programming languages. You will support clients by uncovering trends in user behavior, revenue, and conversion metrics and transforming raw data into actionable insights.
This role offers the opportunity to work closely with experienced analysts, contribute to long-term research projects, and develop your skills within a global, data-driven team. The ideal candidate is curious, detail-oriented, and eager to grow in a fast-paced, entrepreneurial environment.
Key Responsibilities
Data Collection and Preprocessing: Assist in gathering data from various sources and ensure its quality and integrity by performing cleaning and preprocessing tasks.
Data Analysis: Perform basic statistical analysis and generate insightful reports to support decision-making.
Data Visualization: Create clear and effective data visualizations and dashboards to communicate findings to stakeholders.
Support Senior Analysts: Work under the guidance of senior data analysts or data scientists, providing support for ongoing projects and tasks.
Database Management: Learn and use database management tools to extract and manage data efficiently.
Collaboration: Work with cross-functional teams to understand business needs and translate them into data analytical tasks.
Learning and Development: Continuously seek to upgrade skills and knowledge in data analytics through training and professional
development.
Tool Proficiency: Utilize data analysis tools and software such as Excel, SQL, Python, or R to perform data tasks.
Documentation:Maintain clear and organized records of methodologies, processes, and findings for future reference.
Problem Solving:Assist in identifying trends, patterns, and anomalies in data and offer insights for improvement.
We are looking for candidates to meet the following requirements:
Recent graduate or early-career professional with relevant academic background
Strong analytical thinking and attention to detail
Basic knowledge of SQL or another data-related programming language
Fluent English communication skills (C1), both written and verbal
Strong organizational skills and the ability to work independently
Team-oriented mindset with an eagerness to learn and grow
Preferred but not required:
Experience working with large datasets or in a reporting/BI environment
Familiarity with Python or R for data analysis
Exposure to Business Intelligence or SaaS analytics tools
Employee perks, benefits
Part-time position (20h/week) in our Bratislava office
International team with an informal and inclusive culture
Subsidized language courses and professional development support
Laptop provided and occasional home office flexibility
Paid sick days and Multisport card
Access to cutting-edge analytics tools and mentorship from senior experts
Grill parties on our company terrace and monthly team events
Easy-going work atmosphere with a relaxed dress code
Referral bonuses and opportunities for internal mobility
​
If you're interested, please apply through this link:
https://piano.bamboohr.com/careers/689?source=aWQ9Nw%3D%3D",650 EUR/month,11.6.2025,,
https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O4763406?search_id=6b30d10d-2364-4d5a-ae5e-835ee91faebf,"Open positions
Technical",Deutsche Telekom It Solutions Slovakia,Košice,unknown,on_site,,,1 500 EUR/month,16.6.2025,,
https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5031506?search_id=6b30d10d-2364-4d5a-ae5e-835ee91faebf,"Open positions
Technical",Deutsche Telekom It Solutions Slovakia,Pozícia:,unknown,on_site,,,2 000 EUR/month,2.6.2025,,
https://www.profesia.sk/praca/on-semiconductor-slovakia/O5095488?search_id=6b30d10d-2364-4d5a-ae5e-835ee91faebf,Data Engineer,"On Semiconductor Slovakia, A.S.",Bratislava,full_time,on_site,associate,"Informácie o pracovnom mieste
Náplň práce, právomoci a zodpovednosti
onsemi is expanding its Marketing Data and Analytics Team. We are looking for a talented, self-driven, open to new ideas and collaborative Data Engineer. As a Data Engineer you will be responsible for designing, building, and maintaining datasets that will drive decision-making and be leveraged across cross-functional projects and programs. In this role, you will work closely with data analysts, IT, Sales and Marketing leaders, and business unit stakeholders to enable data-driven decision-making. Your role will be critical in defining and building a platform that drives successful data planning, management, and optimization.
This role will be a part of the growing onsemi Marketing team. The team is passionate about data, storytelling, and winning customers' hearts and minds. You'll have the opportunity to work with a diverse set of global Marketers, Sales experts, and technologists. The onsemi Marketing team is committed to close collaboration, embracing new ideas, problem-solving, and being a solid functional partner for the business. Between us, we speak more than 15 languages, have lived, and worked across the globe, and love to swap stories about food, travel, and more. While we enjoy working hard, we also believe that work-life balance, time with family and friends, and personal well-being are essential.
The successful candidate will have the opportunity to:
Assemble large, complex sets of data that meet non-functional and functional business requirements.
Collaborate with IT to identify, design, and implement internal process improvements including re-designing infrastructure for greater scalability, optimizing data delivery, and automating manual processes.
Collaborate with IT to build required infrastructure for optimal extraction, transformation and loading of data from various data sources using AWS, Azure and SQL technologies.
Build analytical tools to utilize the data pipeline, providing actionable insight into key business performance metrics including operational efficiency and customer acquisition.
Work with stakeholders including the Executive, Product, Data and Design teams to support their data needs, while assisting with data-related technical issues.
We offer:
Guaranteed annual bonus 50% from monthly base salary
Annual corporate bonus paid based on the company's results
Benefit Plus (Cafeteria) credit up to 480 € per year
Financial contribution in the amount of 8.35€ (employee contribution 1.85€)
Travel allowance
Contribution to the third pillar of the pension plan up to 3% of the gross salary
Sick leave contribution
Regular annual salary review
Financial reward for reffering a new employee
Extra days off – Bridge days
Sick days
Volunteering day off
MultiSport card
Individual education and employee development plan
Teambuilding and company’s events
Mental health support program
Requirements:
Bachelor's degree in information system management, data engineering, data analytics, computer engineering, or related field.
2-5 years’ experience.
Data warehouse experience including ETL (sustainable automation, data transformation, workload management, data structures, and dependencies).
Expert proficiency in SQL, Python, and R.
Proficiency with automating data through REST APIs.
Understanding of web technology, marketing automation, and data visualization platforms.
Preferred:
Experience with data governance and data privacy laws.
Ability to build and optimize big data sets, pipelines, and architectures.
Ability to perform root cause analysis on processes and data to identify opportunities for improvement.
Excellent analytic skills associated with working on unstructured datasets.
Snowflake experience.
Excellent project management and people communications skill.
Excellent problem-solving skills.",2 000 EUR/mesiac,9.6.2025,,
https://www.profesia.sk/praca/profinit-slovakia-clen-skupiny-profinit/O4945430?search_id=6b30d10d-2364-4d5a-ae5e-835ee91faebf,Cloud Data Engineer,"Profinit Slovakia, S.R.O. (Člen Skupiny Profinit)",Bratislava,full_time,remote,,"Informácie o pracovnom mieste
Náplň práce, právomoci a zodpovednosti
Máš rád prácu s dátami a láka ťa práca na rozmanitých medzinárodných projektoch? Zaujímajú ťa moderné technológie a chceš odborne rásť? Ak áno, teší nás, že čítaš ďalej, hľadáme totiž Cloud Data Engineera na projekty v rôznych doménach (telco, banking, farmaceutický priemysel).
Po úspešnom pohovore ti priradíme projekt podľa tvojich zručností a preferencií a pracovať budeš v tíme skúsených dátových inžinierov, analytikov a vývojárov.
Techstack, s ktorým sa môžeš u nás stretnúť:
Databricks / DBT
SQL
Airflow
Python
AWS ekosystém / Azure ekosystém
Elastic Stack
Jupyter Notebook
EKS
Čo budeš u nás robiť:
Akvizícia a spracovanie vstupných dát pre modely
Konštrukcia PoC alebo produkčných riešení
Produktizácia riešení/modelu, refactoring modelu, DevOps, automatizácia
Analýza požiadaviek, konzultácie s DS užívateľmi, príprava metodík
Analýza dátových zdrojov, modelovanie, konfigurácia, spúšťanie a testovanie dátových pipelines
Migrácie systémov do cloudu
Zamestnanecké výhody, benefity
Hybridný režim s možnosťou home office
25 dní dovolenky pre každého
Prístup k odborným školeniam a certifikátom v oblasti vývoja a softwarového inžinierstva
Možnosť štúdia cudzích jazykov
Mobilná tarifa s neobmedzeným volaním a SMS po SK a 16 GB dát aj na súkromné účely
10-dňový sabbatical po odpracovaní každých 5 rokov
Deň voľna na Silvestra
Dni voľna navyše pri kariérnom postupe
Čo ďalšie ponúkame:
Prácu na rozmanitých projektoch s moderným tech stackom a v medzinárodnej spoločnosti
Práca v tíme skúsených programátorov s dlhoročnou praxou
Priestor pre tvoje vlastné inovácie a nápady
Individuálny prístup a definovaný proces kariérneho rastu
Pozícia je otvorená pre našu dcérsku spoločnosť Profinit Slovakia, s.r.o. (člen skupiny Profinit).",2 000 EUR/mesiac,13.6.2025,,
