job_id,url,source,title,company,location,job_type,workplace_type,experience_level,description,salary,posted_date,applicant_count,view_count
0,https://www.profesia.sk/praca/swiss-re/O5089899?search_id=2c8cbb54-ac1b-4e6e-8d23-f95cfa412d56,https://www.profesia.sk/,Junior Data Engineer,Swiss Re,Bratislava,full_time,hybrid,,"
Job description, responsibilities and duties
About the Role:
As a Data Engineer, you will be responsible for implementing data pipelines and analytics
solutions to support key decision-making processes in our Life & Health Reinsurance business. You will become part of a project that is leveraging cutting edge technology that applies Big Data and Machine Learning to solve new and emerging problems for Swiss Re. You will be expected to gain a full understanding of the reinsurance data and business logic required to deliver analytics solutions.
Key responsibilities include:
•	Work closely with Product Owners and Engineering Leads to understand requirements and evaluate the implementation effort.
•	Develop and maintain scalable data transformation pipelines
•	Implement analytics models and visualizations to provide actionable data insights
•	Collaborate within a global development team to design and deliver solutions.
About the Team:
Life & Health Data & Analytics Engineering is a key tech partner for our Life & Health Reinsurance division, supporting in the transformation of the data landscape and the creation of innovative analytical products and capabilities. A large globally distributed team working in an agile development landscape, we deliver solutions to make better use of our reinsurance data and enhance our ability to make data-driven decisions across the business value chain.
Employee perks, benefits
You can look forward to extra rewards and benefits including:
- Attractive performance-based bonus
- Ultra flexible working time in hybrid setup, allowing you to work also from home
- Modern office spaces in attractive location
- 5 additional days of holiday
- Lunch allowance fully paid by Swiss Re
- Referral bonus
- Pension & risk insurance contribution
- Sick days and sick leave support
- Public transport benefit
- Multisport card
Information about the selection process
We are an equal opportunity employer, and we value diversity at our company. Our aim is to live visible and invisible diversity – diversity of age, race, ethnicity, nationality, gender, gender identity, sexual orientation, religious beliefs, physical abilities, personalities and experiences – at all levels and in all functions and regions. We also collaborate in a flexible working environment, providing you with a compelling degree of autonomy to decide how, when and where to carry out your tasks.
We provide feedback to all candidates via email. If you have not heard back from us, please check your spam folder.",1 600 EUR/month,2025-06-02,,
1,https://www.profesia.sk/praca/piano-software/O5096859?search_id=2c8cbb54-ac1b-4e6e-8d23-f95cfa412d56,https://www.profesia.sk/,Junior Data Analyst (part-time),"Piano Software, S. R. O.",Bratislava,part_time,remote,entry_level,"
Job description, responsibilities and duties
Piano Overview
Piano’s Digital Experience Cloud empowers organizations to understand and influence customer behavior. By unifying customer data, analyzing behavior metrics and creating personalized customer journeys, Piano helps brands launch campaigns and products faster, strengthen customer engagement and drive personalization at scale from a single platform. Headquartered in Amsterdam with offices across the Americas, Europe and Asia Pacific, Piano serves a global client base, including Air France, the BBC, CBS, Kirin Holdings, Jaguar Land Rover and more. Piano has been recognized as one of the fastest-growing, most innovative technology companies in the world by the World Economic Forum, Red Herring, Inc. and Deloitte. For more information, visit piano.io.
If you're interested, please apply through this link:
https://piano.bamboohr.com/careers/689?source=aWQ9Nw%3D%3D
Position Overview
As a Junior Data Analyst at Piano, you will play a key role in helping clients unlock the value of their data. This entry-level position is ideal for students or early-career professionals with strong analytical skills and a foundational knowledge of SQL or similar programming languages. You will support clients by uncovering trends in user behavior, revenue, and conversion metrics and transforming raw data into actionable insights.
This role offers the opportunity to work closely with experienced analysts, contribute to long-term research projects, and develop your skills within a global, data-driven team. The ideal candidate is curious, detail-oriented, and eager to grow in a fast-paced, entrepreneurial environment.
Key Responsibilities
Data Collection and Preprocessing: Assist in gathering data from various sources and ensure its quality and integrity by performing cleaning and preprocessing tasks.
Data Analysis: Perform basic statistical analysis and generate insightful reports to support decision-making.
Data Visualization: Create clear and effective data visualizations and dashboards to communicate findings to stakeholders.
Support Senior Analysts: Work under the guidance of senior data analysts or data scientists, providing support for ongoing projects and tasks.
Database Management: Learn and use database management tools to extract and manage data efficiently.
Collaboration: Work with cross-functional teams to understand business needs and translate them into data analytical tasks.
Learning and Development: Continuously seek to upgrade skills and knowledge in data analytics through training and professional
development.
Tool Proficiency: Utilize data analysis tools and software such as Excel, SQL, Python, or R to perform data tasks.
Documentation:Maintain clear and organized records of methodologies, processes, and findings for future reference.
Problem Solving:Assist in identifying trends, patterns, and anomalies in data and offer insights for improvement.
We are looking for candidates to meet the following requirements:
Recent graduate or early-career professional with relevant academic background
Strong analytical thinking and attention to detail
Basic knowledge of SQL or another data-related programming language
Fluent English communication skills (C1), both written and verbal
Strong organizational skills and the ability to work independently
Team-oriented mindset with an eagerness to learn and grow
Preferred but not required:
Experience working with large datasets or in a reporting/BI environment
Familiarity with Python or R for data analysis
Exposure to Business Intelligence or SaaS analytics tools
Employee perks, benefits
Part-time position (20h/week) in our Bratislava office
International team with an informal and inclusive culture
Subsidized language courses and professional development support
Laptop provided and occasional home office flexibility
Paid sick days and Multisport card
Access to cutting-edge analytics tools and mentorship from senior experts
Grill parties on our company terrace and monthly team events
Easy-going work atmosphere with a relaxed dress code
Referral bonuses and opportunities for internal mobility
​
If you're interested, please apply through this link:
https://piano.bamboohr.com/careers/689?source=aWQ9Nw%3D%3D",650 EUR/month,2025-06-11,,
2,https://www.profesia.sk/praca/gratex-international/O5101575?search_id=2c8cbb54-ac1b-4e6e-8d23-f95cfa412d56,https://www.profesia.sk/,Junior Data Scientist/Data Analyst,"Gratex International, A.S.",Bratislava,full_time,on_site,,"Informácie o pracovnom mieste
Náplň práce, právomoci a zodpovednosti
•    Príprava a analýza dát: zber, čistenie, exploratívna analýza, transformácia
•    Návrh a implementácia preprocessingu: zabezpečenie kvality a integrity dát
•    Anonymizácia dát: pseudonymizácia a citlivostná analýza
•    Podpora vývoja modelov: príprava datasetov pre trénovanie a testovanie AI modelov
•    Reporting a vizualizácie: tvorba prehľadných výstupov a dátových insightov
•    Výskumná podpora: rešerš k témam ako AI etika, dátová bezpečnosť, regulácia
•    Spolupráca s tímom: AI architekt, AI Developer, Data Scientist, Biznis analytik
•    Voliteľné zapojenie:
o    Prompt Engineering
o    AI strategické podklady
o    Interné školenia o AI/dátach
o    Podpora AI bezpečnosti a etiky
Zamestnanecké výhody, benefity
•    Prácu na reálnych AI projektoch
•    Mentoring a odborný rast
•    Prístup k technológiám a modernému AI stacku
•    Flexibilné pracovné prostredie a otvorenosť nápadom
•    Odmeňovanie podľa schopností
•    Možnosť rozšíriť si pôsobenie aj na výskumné alebo strategické smery
Informácie o výberovom konaní
Ak Vás ponúkaná pozícia zaujala, motivačný list spolu so štruktúrovaným životopisom v slovenskom alebo anglickom jazyku zašlite e-mailom na adresu hr@gratex.com. Do predmetu správy uveďte názov pozície. Údaje, ktoré nám poskytnete spracujeme v súlade so zákonom č. 18/2018 Z.z. o Ochrane osobných údajov v znení neskorších predpisov. Vopred ďakujeme všetkým za prejavený záujem. Kontaktovať budeme len uchádzačov, ktorí spĺňajú uvedené požiadavky.",2 000 EUR/mesiac,2025-06-17,,
3,https://www.profesia.sk/praca/swiss-re/O5102741?search_id=2c8cbb54-ac1b-4e6e-8d23-f95cfa412d56,https://www.profesia.sk/,Data Analyst (Hybrid),Swiss Re,Bratislava,full_time,hybrid,,"
Job description, responsibilities and duties
Are you passionate about delivering innovative and effective data and analytics solutions? Are you not afraid to roll up your sleeves and take on multiple responsibilities? Are you excited to contribute to the success of a highly motivated, diverse team of insurance and data specialists? If you answered ""yes"", then we have a job for you!
About the role
Your focus will be on various data and analytics activities supporting actuarial reserving. You will be responsible for maintaining and developing our dashboards and apps, together with the data transformations backing them. You will produce regular checks and reports on reserving processes. You will become an insurance data expert, participate in data quality and data governance topics, and support the wider team with analyses and data requests. You will work closely with reserving actuaries and other stakeholders to ensure our products continue to deliver value. And you will be constantly challenged to improve and optimise.
About the team
You will be part of the Actuarial Reserving Data & Analytics team of Swiss Re Corporate Solutions. We are a small team across multiple locations, dedicated to providing data and analytics solutions, process optimisations, and technology and data expertise to support reserving actuaries in carrying out reserve setting, production of presentation materials, and financial subledger validation.
Employee perks, benefits
- Attractive performance-based bonus
- Ultra flexible working time in hybrid setup, allowing you to work also from home
- Modern office spaces in attractive location
- 5 additional days of holiday
- Lunch allowance fully paid by Swiss Re
- Referral bonus
- Pension & risk insurance contribution
- Sick days and sick leave support
- Public transport benefit
- Multisport card
Information about the selection process
We provide feedback to all candidates via email. If you have not heard back from us, please check your spam folder.",2 200 EUR/month,2025-06-18,,
4,https://www.profesia.sk/praca/pro-hr/O5075234?search_id=2c8cbb54-ac1b-4e6e-8d23-f95cfa412d56,https://www.profesia.sk/,Data Engineer (Azure),Pro Hr,Bratislava,unknown,on_site,,"Informácie o pracovnom mieste
Miesto práce:
Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)
Mzdové podmienky (brutto):
Od 3 000 EUR/mesiac
*finálna úroveň základnej zložky mzdy závisí od skúseností a znalostí kandidáta
Termín nástupu:
dohodou
Druh pracovného pomeru:
plný úväzok
Náplň práce, právomoci a zodpovednosti
Data Engineer pôsobí na projekte návrhu a vývoja DWH, BI, data modelov, data martov na rôznych platformách:
-  komunikuje s interným klientom, spracuje požiadavky a navrhuje nové technické riešenie
- analyzuje dáta z rôznych zdrojov (štruktúrované a neštruktúrované dáta), participuje s analytikmi na tvorbe nového dátového modelu, navrhuje nové ETL procedúry
- zodpovedá  za vývoj SW riešenia, vývoj ETL, vývoj sa realizuje na rôznych platformách MS SQL, Oracle, cloud (SQL, MS Azure, Oracle, store procedures),
- návrhy v oblasti databázy, vývoj databázy, správa databázy
- využíva Big data nástroje -  hadoop ecosystem, Hive, Sqoop, NiFi, Kafka
- tvorí technickú dokumentáciu
- spolupráca s ostatnými inžiniermi (.NET, FE, Python)
Zamestnanecké výhody, benefity
- stabilná medzinárodná spoločnosť
- široká škála benefitov v oblasti zdravotnej starostlivosti, športu, kultúry voliteľných podľa vašich vlastných preferencií
- vzdelávanie, školenia
Informácie o výberovom konaní
* Podľa Zákona o službách zamestnanosti 5/2004 Z. z., § 62 ods. 2, sme povinní uvádzať sumu základnej zložky mzdy. Konečná výška Vašej skutočnej mzdy je odvodená od Vašich odborných skúseností, znalostí, zručností a toho ako zodpovedajú požiadavkám konkrétnej pozície.
Prosíme kandidátov, ktorí prejavili záujem o pracovnú pozíciu, aby poslali C.V. na E-mail: maria.buckova@prohr.sk
Spoločnosť, pre ktorú je pozícia obsadzovaná
Informačné technológie
Stabilná medzinárodná IT spoločnosť.",3 000 EUR/mesiac,2025-06-11,,
5,https://www.profesia.sk/praca/lyreco-ce-se/O5102870?search_id=2c8cbb54-ac1b-4e6e-8d23-f95cfa412d56,https://www.profesia.sk/,Digital Marketing Data Analyst,"Lyreco Ce, Se",Pezinok,unknown,on_site,,,2 100 EUR/month,2025-06-19,,
6,https://www.profesia.sk/praca/nn-zivotna-poistovna/O5044730?search_id=2c8cbb54-ac1b-4e6e-8d23-f95cfa412d56,https://www.profesia.sk/,"Data
Scientist
(m/ž/x)","Nn Životná Poisťovňa, A.S.",Bratislava,unknown,on_site,,,2 200 EUR/mesiac,2025-06-24,,
7,https://www.profesia.sk/praca/zurich-insurance-company-ltd-organizacna-zlozka/O5096561?search_id=2c8cbb54-ac1b-4e6e-8d23-f95cfa412d56,https://www.profesia.sk/,Data Science Analyst,"Zurich Insurance Company Ltd, Organizačná Zložka",Bratislava,full_time,on_site,,"
Job description, responsibilities and duties
We are looking for a candidate with very strong R programming skills to join our Life Protection Unit (LPU) team, a global function providing guidance, oversight, and development advice for all Zurich’s life technical needs. This role supports the development of a global experience analysis platform called Experience Insights, to additional business units (BUs) and products.
Experience Insights investigate past claims and persistency, in our Life Protection business, to set appropriate assumptions for pricing future business. This technology enables LBM/BUs to perform their experience analysis using a modern Data Science (DS) platform, automate routine tasks, and develop more sophisticated analytics in collaboration with LPU. The platform is a key enabler for executing Zurich’s Life strategy.
Your role
As a Data Science Analyst, your main responsibilities will involve:
Working with actuaries (LPU & BUs) to identify and gather required (experience) data
Writing R code to ingest and standardise data as well as to calculate exposure
Working in collaboration with actuaries (LPU & BUs) to validate transformed data / results
Working with Zurich’s Data & Business Insights (D&BI) team to align Azure tools with R code and to deploy new code into production
Implementing RMarkdown reports to document data inputs, methods used, and results creating local best-estimate basis reports
Participating in R&D (exploring new methodologies, developing best practise, etc.) and implementing best-practice predictive modelling for experience analysis
Your Skills and Experience
As a Data Science Analyst, your skills and experience will ideally include:
University education (Master's degree) in data / computer science, actuarial science, (financial) mathematics, statistics, econometrics, quantitative methods, or similar
Professional R programming skills and 2+ years of experience in R programming
Knowledge of the insurance industry (life products in particular) is an advantage
Additional programming languages are a plus (e.g., Python, SQL, YAML, Power BI)
Strong communication skills (documentation and presentation of developed code)
English language –Upper intermediate (B2 or better), spoken and written
Interest in data research, predictive modelling, statistical analysis, data transformation and / or other analytical role developing insights for use in business decisions
Behavioural skills
Strong pro-active team player who works collaboratively
Enthusiastic and positive attitude with a desire to drive the business forward
Strong communication and influencing skills, both written and oral
A self-starter committed to deliver quality work to set deadlines
Ability to prioritise and focus to deliver the end results
Able to build and maintain relationships at all levels of staff
Employee perks, benefits
Apart from monthly salary offer and a yearly bonus we offer benefits package which includes:
Working time benefits
Personal days off, Concentrated work week, Additional vacation, Home office, Extra days off at occasion of childbirth, Sabbatical leave, Workcation
Monetary benefits
Life insurance from Zurich Austria, Compensation for salary loss during sick leave, 3rd pension pillar contribution, Risk Life Insurance, Meal contribution on top of the legally required minimum, Years of service bonus, Wedding bonus, Baby bonus
Other benefits
Edenred electronic cafeteria, Public Transport contribution, Maternity leave benefits, Massages in the office
Learning/Development
Professional Certifications, Online Education Portals, Extensive Onboarding program, Strengths based culture (GALLUP)
Location:
Bratislava
Schedule:
full-time
Hybrid working:
We'd love to see you in the office 2-3 times a week, while also offering the flexibility to work from home.
Expected date of completion of the selection process
10 July 2025
(there are still 16 more days)",2 200 EUR/month,2025-06-10,,
8,https://www.profesia.sk/praca/on-semiconductor-slovakia/O5095488?search_id=2c8cbb54-ac1b-4e6e-8d23-f95cfa412d56,https://www.profesia.sk/,Data Engineer,"On Semiconductor Slovakia, A.S.",Bratislava,full_time,on_site,associate,"Informácie o pracovnom mieste
Náplň práce, právomoci a zodpovednosti
onsemi is expanding its Marketing Data and Analytics Team. We are looking for a talented, self-driven, open to new ideas and collaborative Data Engineer. As a Data Engineer you will be responsible for designing, building, and maintaining datasets that will drive decision-making and be leveraged across cross-functional projects and programs. In this role, you will work closely with data analysts, IT, Sales and Marketing leaders, and business unit stakeholders to enable data-driven decision-making. Your role will be critical in defining and building a platform that drives successful data planning, management, and optimization.
This role will be a part of the growing onsemi Marketing team. The team is passionate about data, storytelling, and winning customers' hearts and minds. You'll have the opportunity to work with a diverse set of global Marketers, Sales experts, and technologists. The onsemi Marketing team is committed to close collaboration, embracing new ideas, problem-solving, and being a solid functional partner for the business. Between us, we speak more than 15 languages, have lived, and worked across the globe, and love to swap stories about food, travel, and more. While we enjoy working hard, we also believe that work-life balance, time with family and friends, and personal well-being are essential.
The successful candidate will have the opportunity to:
Assemble large, complex sets of data that meet non-functional and functional business requirements.
Collaborate with IT to identify, design, and implement internal process improvements including re-designing infrastructure for greater scalability, optimizing data delivery, and automating manual processes.
Collaborate with IT to build required infrastructure for optimal extraction, transformation and loading of data from various data sources using AWS, Azure and SQL technologies.
Build analytical tools to utilize the data pipeline, providing actionable insight into key business performance metrics including operational efficiency and customer acquisition.
Work with stakeholders including the Executive, Product, Data and Design teams to support their data needs, while assisting with data-related technical issues.
We offer:
Guaranteed annual bonus 50% from monthly base salary
Annual corporate bonus paid based on the company's results
Benefit Plus (Cafeteria) credit up to 480 € per year
Financial contribution in the amount of 8.35€ (employee contribution 1.85€)
Travel allowance
Contribution to the third pillar of the pension plan up to 3% of the gross salary
Sick leave contribution
Regular annual salary review
Financial reward for reffering a new employee
Extra days off – Bridge days
Sick days
Volunteering day off
MultiSport card
Individual education and employee development plan
Teambuilding and company’s events
Mental health support program
Requirements:
Bachelor's degree in information system management, data engineering, data analytics, computer engineering, or related field.
2-5 years’ experience.
Data warehouse experience including ETL (sustainable automation, data transformation, workload management, data structures, and dependencies).
Expert proficiency in SQL, Python, and R.
Proficiency with automating data through REST APIs.
Understanding of web technology, marketing automation, and data visualization platforms.
Preferred:
Experience with data governance and data privacy laws.
Ability to build and optimize big data sets, pipelines, and architectures.
Ability to perform root cause analysis on processes and data to identify opportunities for improvement.
Excellent analytic skills associated with working on unstructured datasets.
Snowflake experience.
Excellent project management and people communications skill.
Excellent problem-solving skills.",2 000 EUR/mesiac,2025-06-23,,
9,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O4763406?search_id=2c8cbb54-ac1b-4e6e-8d23-f95cfa412d56,https://www.profesia.sk/,"Open positions
Technical",Deutsche Telekom It Solutions Slovakia,Košice,unknown,on_site,,,1 500 EUR/month,2025-06-16,,
